,name,share_code,industry,industry_code
0,北京首创生态环保集团股份有限公司,600008,水的生产和供应业,D46
1,武汉三镇实业控股股份有限公司,600168,水的生产和供应业,D46
2,黑龙江国中水务股份有限公司,600187,水的生产和供应业,D46
3,钱江水利开发股份有限公司,600283,水的生产和供应业,D46
4,江西洪城环境股份有限公司,600461,水的生产和供应业,D46
5,武汉祥龙电业股份有限公司,600769,水的生产和供应业,D46
6,天津创业环保集团股份有限公司,600874,水的生产和供应业,D46
7,重庆水务集团股份有限公司,601158,水的生产和供应业,D46
8,江苏江南水务股份有限公司,601199,水的生产和供应业,D46
9,广西绿城水务股份有限公司,601368,水的生产和供应业,D46
10,江苏联合水务科技股份有限公司,603291,水的生产和供应业,D46
11,海天水务集团股份公司,603759,水的生产和供应业,D46
12,福建海峡环保集团股份有限公司,603817,水的生产和供应业,D46
